external_gene_name,NIH_accession,NIH_description,GO terms
PAQR8,LOC111578888,membrane progestin receptor beta-like,metal ion binding
SMPD3,smpd3,sphingomyelin phosphodiesterase 3,membrane
CMTM8,,,
znf395a,,,metal ion binding
,LOC111585760,C-C motif chemokine 4-like,extracellular region
TRAF6,traf6,TNF receptor-associated factor 6,
ZFC3H1,,,
TRPM5,trpm5,"transient receptor potential cation channel, subfamily M, member 5",
SAMD15,LOC118471122,protein TsetseEP-like,
cacna1fa,LOC111585526,sodium channel protein type 4 subunit alpha B-like,membrane
zgc:153846,LOC111585527,gamma-crystallin M2-like,
APRT,,,
thbs2a,lamb4,"laminin, beta 4",
TTC17,ttc17,tetratricopeptide repeat domain 17,
cdkn1cb,cdkn1ca,cyclin dependent kinase inhibitor 1Ca,nucleus
kcnq1.1,kcnq1.1,"potassium voltage-gated channel, KQT-like subfamily, member 1.1",
lingo1b,lingo1b,leucine rich repeat and Ig domain containing 1b,myelination
LUZP2,luzp2,leucine zipper protein 2,
gsnb,,,
CNGB1,cngb1a,cyclic nucleotide gated channel subunit beta 1a,membrane
lamb1a,lamb1a,"laminin, beta 1a",anatomical structure development
WDR83,wdr83,WD repeat domain containing 83,
PSPN,,,extracellular region
ccdc130,yju2b,YJU2 splicing factor homolog B,
c3b.2,,,extracellular region
WDR83OS,wdr83os,WD repeat domain 83 opposite strand,
MFNG,mfng,MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,
,LOC111569834,E3 ubiquitin/ISG15 ligase TRIM25-like,
man2b1,man2b1,"mannosidase, alpha, class 2B, member 1",
ighv6-1,,,membrane
sstr1a,,,membrane
APBB3,,,membrane
SEC23A,sec23a,"Sec23 homolog A, coat complex II component",
KIFC3,,,nucleotide binding
stag2b,zgc:109986,uncharacterized LOC111575094,
slc3a2b,LOC111568660,4F2 cell-surface antigen heavy chain-like,membrane
SRP54,srp54,signal recognition particle 54,
nlgn4xa,nlgn4xa,neuroligin 4 X-linked a,
GYG2,gyg2,glycogenin 2,glycosyltransferase activity
CD99,cd99,CD99 molecule,
anos1a,anos1a,anosmin 1a,
STS,,,membrane
PDZD2,,,
RAMP3,,,
HOMER1,,,
PUDP,pudp,pseudouridine 5'-phosphatase,hydrolase activity
,haus2,HAUS augmin like complex subunit 2,centrosome cycle
PNPLA4,pnpla4,patatin-like phospholipase domain containing 4,
GABARAPL2,,,
LRRC57,lrrc57,leucine rich repeat containing 57,
DNPEP,dnpep,aspartyl aminopeptidase,
NQO1,nqo1,"NAD(P)H dehydrogenase, quinone 1",
TYRO3,,,
BBOX1,,,
fibinb,fibinb,fin bud initiation factor b,
MADD,,,
ZBED1,dhrsx,dehydrogenase/reductase (SDR family) X-linked,
,LOC111562628,receptor-type tyrosine-protein phosphatase-like N,
ihha,LOC111582838,indian hedgehog B protein-like,metal ion binding
NHEJ1,,,nucleus
TDP2,,,
rpgrb,,,
S100B,s100b,"S100 calcium binding protein, beta (neural)",
tuba8l3,,,
mdga2a,mdga2a,MAM domain containing glycosylphosphatidylinositol anchor 2a,
ahr2,ahr2,aryl hydrocarbon receptor 2,xenobiotic metabolic process
ahr1b,ahr1b,aryl hydrocarbon receptor 1b,regulation of DNA-templated transcription
bin1b,bin1b,bridging integrator 1b,
,LOC111571217,leucine-rich repeat-containing protein 4C,membrane
mfsd6a,mfsd6a,major facilitator superfamily domain containing 6a,
nab1a,LOC111586848,NGFI-A-binding protein 1-like,regulation of DNA-templated transcription
CRYGS,,,
si:ch211-246m6.4,si:ch211-246m6.4,basic helix-loop-helix transcription factor scleraxis,
BZW1,bzw1a,basic leucine zipper and W2 domains 1a,
sh3bp4a,,,iron ion binding
dhrs13a.2,LOC111579617,dehydrogenase/reductase SDR family member 13-like,
dhrs13a.1,,,
HIKESHI,hikeshi,heat shock protein nuclear import factor hikeshi,
HEATR5A,,,
KATNB1,katnb1,katanin p80 (WD repeat containing) subunit B 1,
TRMT1,trmt1,tRNA methyltransferase 1,
NR1H3,nr1h3,"nuclear receptor subfamily 1, group H, member 3",
nacc1b,nacc1b,"nucleus accumbens associated 1, BEN and BTB (POZ) domain containing b",DNA binding
stx10,LOC111588704,syntaxin-10,membrane
MAPKBP1,mapkbp1,mitogen-activated protein kinase binding protein 1,
ahsa1a,,,
tafa1a,il17a/f2,interleukin 17a/f2,
FSHB,LOC111571034,gonadotropin subunit beta-1-like,
KCNA4,kcna4,"potassium voltage-gated channel, shaker-related subfamily, member 4",
HECTD1,hectd1,HECT domain containing 1,transferase activity
tlr7,,,
cd151l,,,membrane
TMC5,cacna1ab,"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit, b",metal ion binding
TMEM138,,,
CFAP70,cfap70,cilia and flagella associated protein 70,
AP4S1,ap4s1,adaptor related protein complex 4 subunit sigma 1,
DDB1,ddb1,damage-specific DNA binding protein 1,
TBPL2,tbpl2,TATA box binding protein like 2,
JMJD7,jmjd7,jumonji domain containing 7,
fbxo34,,,
STRN3,,,
CEBPA,cebpa,CCAAT enhancer binding protein alpha,
tspan4a,tspan4a,tetraspanin 4a,
syne2b,,,
CEBPG,cebpg,CCAAT enhancer binding protein gamma,
pth1a,,,extracellular region
btbd10a,LOC111569309,BTB/POZ domain-containing protein 10-like,cytoplasm
GPHB5,gphb5,glycoprotein hormone subunit beta 5,
FHOD1,fhod1,formin homology 2 domain containing 1,
kcnh5b,kcnh5b,"potassium voltage-gated channel, subfamily H (eag-related), member 5b",membrane
arntl1a,bmal1a,basic helix-loop-helix ARNT like 1a,
ppp2r5eb,ppp2r5eb,"protein phosphatase 2, regulatory subunit B', epsilon",
SLC9A5,slc9a5,solute carrier family 9 member A5,
WDR89,wdr89,WD repeat domain 89,
SGPP1,sgpp1b,sphingosine-1-phosphate phosphatase 1b,
DCPS,,,
SYT16,syt16,synaptotagmin XVI,
snapc1b,snapc1b,"small nuclear RNA activating complex, polypeptide 1b",
ZNF236,,,nucleus
,LOC111585872,zinc finger protein OZF-like,
,LOC111585868,zinc finger protein 665-like,
Zfp119b,,,
,LOC111585871,gastrula zinc finger protein XlCGF26.1-like,
,LOC111585864,zinc finger protein 665-like,metal ion binding
megf8,LOC111567953,ras-related protein Rab-8B,
TRAF3,,,
TMEM234,,,
RCOR1,rcor1,REST corepressor 1,nucleus
ANKRD9,ankrd9,ankyrin repeat domain 9,
CIB2,LOC111567958,calcium and integrin-binding family member 2-like,
TECPR2,tecpr2,tectonin beta-propeller repeat containing 2,
TALDO1,taldo1,transaldolase 1,transferase activity
ANXA2,LOC111578891,annexin A2,
cog8,cog8,component of oligomeric golgi complex 8,membrane
NOB1,nob1,NIN1 (RPN12) binding protein 1 homolog,
WDR59,wdr59,WD repeat domain 59,
PLEKHA3,plekha3,"pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 3",
CDH11,cdh11,"cadherin 11, type 2, OB-cadherin (osteoblast)",
ZNF839,,,
CINP,cinp,cyclin-dependent kinase 2 interacting protein,
,im:7136021,uncharacterized im:7136021,
GPATCH1,gpatch1,G patch domain containing 1,
DKC1,dkc1,"dyskeratosis congenita 1, dyskerin",
,LOC111586411,DIS3-like exonuclease 1,
HSD11B2,hsd11b2,hydroxysteroid (11-beta) dehydrogenase 2,
ZDHHC1,,,membrane
TPPP3,,,
TRPM1,LOC111567952,transient receptor potential cation channel subfamily M member 1-like,
PSMA5,psma5,proteasome 20S subunit alpha 5,nucleus
sort1a,LOC111587439,sortilin-like,
INHBB,LOC111574682,inhibin subunit beta B,
YAF2,LOC111575175,YY1-associated factor 2-like,
GXYLT1,LOC111575164,glucoside xylosyltransferase 1-like,
,mipol1,mirror-image polydactyly 1,
C5orf63,,,
FOXA1,foxa1,forkhead box A1,
si:ch211-185a18.2,kiaa0586,KIAA0586 ortholog,smoothened signaling pathway
IRF2BPL,irf2bpl,interferon regulatory factor 2 binding protein-like,
TIMM9,timm9,translocase of inner mitochondrial membrane 9 homolog,
EHD4,LOC111581399,EH domain-containing protein 4-like,
NANOS1,LOC111583328,nanos homolog 1-like,
ARID4A,arid4a,AT-rich interactive domain 4A,nucleus
G2E3,g2e3,G2/M-phase specific E3 ubiquitin protein ligase,
DACT1,dact1,dishevelled-binding antagonist of beta-catenin 1,cytoplasm
PSMA3,psma3,proteasome 20S subunit alpha 3,
COCH,coch,"coagulation factor C homolog, cochlin (Limulus polyphemus)",
SNX6,snx6,sorting nexin 6,
NICN1,nicn1,nicolin 1,
NICN1,LOC111582010,nicolin-1,
Vault,,,
PRLHR,,,
tpmt.1,,,transferase activity
csnk2b,prickle2b,prickle homolog 2b,
tpmt.1,LOC129348416,probable thiopurine S-methyltransferase,
pcmtl,,,
CCDC32,,,
phox2bb,phox2bb,paired like homeobox 2Bb,
limch1b,,,
BBS7,bbs7,Bardet-Biedl syndrome 7,
sft2d2a,LOC111581786,vesicle transport protein SFT2B-like,membrane
HTR4,htr4,5-hydroxytryptamine receptor 4,
CHD1L,chd1l,chromodomain helicase DNA binding protein 1-like,nucleus
,LOC129348432,"atypical kinase COQ8B, mitochondrial-like",
PDE6A,pde6a,"phosphodiesterase 6A, cGMP-specific, rod, alpha",
akt3a,,,
CIDEA,,,
eloa,eloa,elongin A,nucleus
ZKSCAN4,LOC111575235,gastrula zinc finger protein XlCGF57.1-like,nucleus
PITHD1,pithd1,PITH (C-terminal proteasome-interacting domain of thioredoxin-like) domain containing 1,
,LOC111575234,gastrula zinc finger protein XlCGF57.1-like,
MRC2,,,
ZNF451,LOC111575233,gastrula zinc finger protein xFG20-1-like,
folr,,,
ZSCAN2,LOC111575240,zinc finger protein 391-like,metal ion binding
foxg1a,foxg1a,forkhead box G1a,neuron differentiation
EGLN3,egln3,egl-9 family hypoxia-inducible factor 3,iron ion binding
C9orf85,,,
CFL2,cfl2,cofilin 2 (muscle),
dnai2b,dnai2b,"dynein, axonemal, intermediate chain 2b",
SPTSSA,sptssa,"serine palmitoyltransferase, small subunit A",
EAPP,eapp,e2f-associated phosphoprotein,
lgals3b,,,membrane
SMARCD1,LOC118470990,RNA/RNP complex-1-interacting phosphatase,catalytic activity
SCUBE3,,,
si:dkey-154p10.3,LOC111575244,zinc finger protein 345-like,
slc9a1b,,,membrane
PRKD1,prkd1,protein kinase D1,
MGAT4B,,,
U2,LOC111570020,U2 spliceosomal RNA,
EIF4H,,,
PSMB2,psmb2,proteasome 20S subunit beta 2,
RPLP2,LOC129348847,60S acidic ribosomal protein P2-like,
RPLP2,rplp2,"ribosomal protein, large P2",
,cdca5,cell division cycle associated 5,
,LOC111581566,zinc finger and SCAN domain-containing protein 2-like,
,LOC129348469,leucine-rich repeat and fibronectin type III domain-containing protein 1-like protein,
GPAT3,gpat3,glycerol-3-phosphate acyltransferase 3,
arl3l2,,,metal ion binding
5S_rRNA,LOC111585054,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC111573393,5S ribosomal RNA,structural constituent of ribosome
U1,LOC111573400,U1 spliceosomal RNA,pre-mRNA 5'-splice site binding
U1,LOC111571248,U1 spliceosomal RNA,pre-mRNA 5'-splice site binding
5S_rRNA,LOC111574853,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC111584169,5S ribosomal RNA,structural constituent of ribosome
U2,,,
U5,LOC111585621,U5 spliceosomal RNA,
U5,LOC111577192,U5 spliceosomal RNA,
U5,LOC111565300,U5 spliceosomal RNA,
U1,LOC111574881,U1 spliceosomal RNA,pre-mRNA 5'-splice site binding
MSI1,LOC111574306,musashi RNA binding protein 1b,
U2,LOC129348485,U2 spliceosomal RNA,pre-mRNA branch point binding
U2,LOC129348355,U2 spliceosomal RNA,pre-mRNA branch point binding
U2,LOC129348354,U2 spliceosomal RNA,pre-mRNA branch point binding
5S_rRNA,LOC111577173,5S ribosomal RNA,
5S_rRNA,LOC129348502,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC129348436,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC129348435,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC129348369,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC129348368,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC129348367,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC129348366,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC129348364,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC129348362,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC129348361,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC129348360,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC129348358,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC129348353,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC111588729,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC111588679,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC111587998,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC111586975,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC111586974,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC111585999,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC111578160,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC111577273,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC111577268,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC111577174,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC111576458,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC111575762,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC111575761,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC111575760,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC111573579,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC111573577,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC111573576,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC111570384,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC111570019,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC111570018,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC111570017,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC111568117,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC111582326,5S ribosomal RNA,structural constituent of ribosome
ARMC8,,,
zgc:77880,zgc:77880,zf-DHHC domain-containing protein,
zgc:77880,LOC111566689,zf-DHHC domain-containing protein,
mnx2a,,,DNA binding
DTD2,LOC129349237,D-aminoacyl-tRNA deacylase 2-like,
DTD2,LOC111576685,D-aminoacyl-tRNA deacylase 2,
NUBPL,,,
prdm1b,,,
5S_rRNA,LOC129348500,5S ribosomal RNA,
5S_rRNA,LOC111586973,5S ribosomal RNA,
5S_rRNA,LOC129348501,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC129348365,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC129348363,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC111577262,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC111582333,5S ribosomal RNA,structural constituent of ribosome
5S_rRNA,LOC129348499,5S ribosomal RNA,
5S_rRNA,LOC129348498,5S ribosomal RNA,
5S_rRNA,LOC111582320,5S ribosomal RNA,
PREP,LOC111569149,prolyl endopeptidase-like,
ABRAXAS1,,,nucleus
kctd9b,,,
NCF1,LOC129348438,neutrophil cytosolic factor 1-like,
NCF1,LOC111586256,neutrophil cytosolic factor 1,
cd8b,cd8b,cd8 beta,membrane
ATP5MC1,atp5mc1,ATP synthase membrane subunit c locus 1,
hsp90aa1.2,,,
march5l,marchf5l,"membrane-associated ring finger (C3HC4) 5, like",membrane
HELQ,helq,"helicase, POLQ like",
U2,LOC129348352,U2 spliceosomal RNA,
U2,LOC129348351,U2 spliceosomal RNA,
U2,LOC111575764,U2 spliceosomal RNA,
,LOC129348477,phospholipid transfer protein-like,
si:ch211-195e19.1,,,membrane
mrps18c,mrps18c,mitochondrial ribosomal protein S18C,
HPSE,hpse,heparanase,
RFLNB,,,membrane
tmem41aa,,,metal ion binding
ppdpfb,,,membrane
actr1,actr1b,actin related protein 1B,
,LOC129348532,uncharacterized LOC129348532,
rpe65a,,,
clk2a,,,
GPR173,LOC111588353,probable G-protein coupled receptor 173,
RASAL1,,,
WDR13,wdr13,WD repeat domain 13,
,LOC129348492,RING finger protein 11-like,
,LOC111572643,GTPase IMAP family member 9-like,nucleotide binding
PPP1R1C,ppp1r1c,"protein phosphatase 1, regulatory (inhibitor) subunit 1C",
NCKAP1,nckap1,NCK-associated protein 1,
tmbim1a,LOC111571309,protein lifeguard 3,
CRYGS,LOC111580866,gamma-crystallin S-like,
UNC5B,unc5b,unc-5 netrin receptor B,
NDUFB6,ndufb6,NADH:ubiquinone oxidoreductase subunit B,
NDUFB6,LOC129348519,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6-like,
PRELID1,,,
toporsa,,,metal ion binding
rpl17,rpl17,ribosomal protein L17,structural constituent of ribosome
slc6a22.2,,,
MFHAS1,mfhas1,multifunctional ROCO family signaling regulator 1,nucleotide binding
CCNI,ccni,cyclin I,
CCNG2,ccng2,cyclin G2,
wu:fj64h06,taf1c,"TATA-box binding protein associated factor, RNA polymerase I subunit C",transcription by RNA polymerase I
npy8ar,npy8ar,neuropeptide Y receptor Y8a,membrane
TRAPPC2L,,,
COX5B,LOC111569320,"cytochrome c oxidase subunit 5B, mitochondrial-like",
COX5B,zgc:86599,"cytochrome c oxidase subunit 5B, mitochondrial",
dbnla,LOC111569323,drebrin-like protein A,
TCF7L1,,,DNA binding
ITGB2,itgb2,"integrin, beta 2",
DUSP11,,,
ATP6V1B2,atp6v1b2,ATPase H+ transporting V1 subunit B2,ATP binding
PSMG3,LOC129347581,proteasome assembly chaperone 3-like,
PSMG3,LOC111584340,"proteasome (prosome, macropain) assembly chaperone 3",
PORCN,porcn,porcupine O-acyltransferase,membrane
TIPIN,tipin,timeless interacting protein,
SCFD1,scfd1,sec1 family domain containing 1,
anp32b,,,
galr1a,LOC111569152,galanin receptor type 1-like,galanin receptor activity
mbpa,mbpa,myelin basic protein a,
scn1bb,LOC111569145,sodium channel subunit beta-1,
NAXE,naxe,NAD(P)HX epimerase,
,LOC111583312,ephrin type-A receptor 7-like,ATP binding
LYPLA2,lypla2,lysophospholipase 2,
fabp10b,LOC111564504,"fatty acid-binding protein, liver-like",lipid binding
LMNA,lmna,lamin A,
USF2,usf2,"upstream transcription factor 2, c-fos interacting",nucleus
npr1a,npr1a,natriuretic peptide receptor 1a,
DNAJB5,,,
dusp19b,LOC111585135,dual specificity protein phosphatase 19-like,
,LOC111584963,uncharacterized LOC111584963,
prkceb,LOC111562817,protein kinase C epsilon type-like,
kif20ba,kif20ba,kinesin family member 20Ba,nucleotide binding
BEAN1,bean1,"brain expressed, associated with NEDD4, 1",
CHRNA1,chrna1,"cholinergic receptor, nicotinic, alpha 1 (muscle)",
LRRC3B,lrrc3b,leucine rich repeat containing 3B,
,LOC111562473,BCL2/adenovirus E1B 19 kDa protein-interacting protein 2-like,
PHF14,phf14,PHD finger protein 14,
CDC5L,cdc5l,CDC5 cell division cycle 5-like (S. pombe),DNA binding
PPP1R3B,ppp1r3b,"protein phosphatase 1, regulatory subunit 3B",
WDR7,,,
DCLRE1C,dclre1c,"DNA cross-link repair 1C, PSO2 homolog (S. cerevisiae)",
gfra2b,gfra2b,GDNF family receptor alpha 2b,
ONECUT2,onecut2,one cut homeobox 2,
FSD1L,LOC111568816,FSD1-like protein,
SAMD12,samd12,sterile alpha motif domain containing 12,
TAFA2,,,DNA binding
TEKT2,tekt2,tektin 2 (testicular),
si:dkey-211g8.6,,,membrane
SFPQ,sfpq,splicing factor proline/glutamine-rich,
,LOC111586496,zymogen granule membrane protein 16-like,
srsf10b,LOC111564496,serine/arginine-rich splicing factor 10-like,
plecb,pleca,plectin a,actin binding
APC,,,
,LOC111572821,DNA-directed RNA polymerase III subunit RPC1-like,
,LOC111572652,DNA-directed RNA polymerase III subunit RPC1-like,
june,june,"JunE proto-oncogene, AP-1 transcription factor subunit",
ELAPOR1,,,
crata,LOC111565257,carnitine O-acetyltransferase-like,
ERCC4,,,DNA binding
ddx61,LOC111562609,probable ATP-dependent RNA helicase ddx6,
EPPK1,,,cytoplasm
FBXL6,,,SCF ubiquitin ligase complex
zgc:109744,LOC111585008,uncharacterized LOC111585008,
,LOC111563931,cilia- and flagella-associated protein 69,
KDM1B,LOC111563932,lysine-specific histone demethylase 2,
napba,,,
zgc:114119,zgc:114119,Mediator of RNA polymerase II transcription subunit 30-like,
ago3b,ago3b,argonaute RISC catalytic component 3b,
paqr3a,LOC111562769,progestin and adipoQ receptor family member 3-like,
DSCC1,dscc1,DNA replication and sister chromatid cohesion 1,
RSL1D1,,,organelle
PTPA,ptpa,protein phosphatase 2 phosphatase activator,
PLCB1,LOC111586358,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1-like",
MRPL13,mrpl13,mitochondrial ribosomal protein L13,
PARM1,,,
mcf2lb,,,
appb,rhpn1,"rhophilin, Rho GTPase binding protein 1",signal transduction
OXSM,oxsm,"3-oxoacyl-ACP synthase, mitochondrial",transferase activity
NGLY1,ngly1,N-glycanase 1,metal ion binding
RHOB,,,
NXPH1,nxph1,neurexophilin 1,
si:ch211-264e16.1,,,membrane
si:cabz01090165.1,,,membrane
TOP2B,top2b,DNA topoisomerase II beta,
SVBP,LOC129348513,small vasohibin-binding protein-like,
zgc:175088,LOC129348511,F-box only protein 2-like,
zgc:175088,LOC111576570,F-box only protein 2,
SYT4,LOC129348520,synaptotagmin-4-like,
NARS1,nars1,asparaginyl-tRNA synthetase 1,
Tubb3,,,
TRIM3,LOC111573382,tripartite motif-containing protein 65-like,
eef1db,LOC111573383,elongation factor 1-delta,cytoplasm
PYCR3,pycr3,pyrroline-5-carboxylate reductase 3,
bmb,bmb,brambleberry,pronuclear fusion
si:zfos-932h1.3,LOC111568373,zinc finger protein 665-like,
tsta3,LOC111573385,GDP-L-fucose synthase,
def6c,def6c,DEF6 guanine nucleotide exchange factor c,
CRLS1,crls1,cardiolipin synthase 1,membrane
MCAT,mcat,malonyl CoA:ACP acyltransferase (mitochondrial),
mcm8,,,
TTLL1,ttll1,"tubulin tyrosine ligase-like family, member 1",
PACSIN2,pacsin2,protein kinase C and casein kinase substrate in neurons 2,regulation of endocytosis
ARFGAP3,arfgap3,ADP-ribosylation factor GTPase activating protein 3,membrane
IKBIP,ikbip,IKBKB interacting protein,
UHRF1BP1L,bltp3b,bridge-like lipid transfer protein family member 3B,
NINJ2,LOC129347275,ninjurin-2-like,membrane
LSM5,,,
